trip_id,user_id,pickup_point,dropoff_point,vehicle_type,distance_km,duration_min,fare_inr,payment_method,trip_date,user_rating
BLRTRIP100000,USER3808,Whitefield,Marathahalli,Auto,5.81,21.6,88.09,Cash,2024-01-11,3.0
BLRTRIP100001,USER3770,Hennur,Ulsoor,Auto,6.35,17.6,86.74,Card,2024-03-14,3.0
BLRTRIP100002,USER9725,Electronic City,Whitefield,Sedan,16.58,66.0,269.72,Wallet,2024-01-08,5.0
BLRTRIP100003,USER2978,Whitefield,Indiranagar,Mini,11.82,32.4,169.65,Wallet,2024-01-20,
BLRTRIP100004,USER1753,Yelahanka,Kengeri,SUV,23.85,76.7,459.68,UPI,2024-03-30,
BLRTRIP100005,USER2875,Ulsoor,Marathahalli,Sedan,8.92,26.0,167.73,Card,2024-04-01,3.0
BLRTRIP100006,USER5408,Jayanagar,BTM Layout,Mini,2.0,7.4,69.53,Card,2024-03-04,
BLRTRIP100007,USER9375,Whitefield,Marathahalli,Sedan,5.81,18.5,133.18,UPI,2024-04-23,3.0
BLRTRIP100008,USER3460,Electronic City,Jayanagar,SUV,13.28,52.9,281.29,UPI,2024-04-11,
BLRTRIP100009,USER4349,Kengeri,BTM Layout,Auto,13.27,35.6,149.74,Card,2024-01-08,4.0
BLRTRIP100010,USER3733,BTM Layout,Jayanagar,Mini,2.0,5.3,64.72,UPI,2024-03-20,3.0
BLRTRIP100011,USER2106,Koramangala,Basavanagudi,Mini,5.53,23.7,109.23,Cash,2024-03-23,3.0
BLRTRIP100012,USER3744,Vijayanagar,Marathahalli,Mini,17.9,70.1,236.79,Card,2024-02-01,4.0
BLRTRIP100013,USER1920,Malleshwaram,Ulsoor,Auto,5.78,23.4,79.13,Cash,2024-03-31,3.0
BLRTRIP100014,USER9367,Jayanagar,Malleshwaram,SUV,9.09,39.8,224.73,Cash,2024-04-09,5.0
BLRTRIP100015,USER1812,Vijayanagar,Hennur,Mini,13.39,58.9,194.83,Card,2024-04-19,
BLRTRIP100016,USER7085,Vijayanagar,Kengeri,SUV,8.76,28.8,214.02,UPI,2024-03-30,4.0
BLRTRIP100017,USER3663,Banashankari,Whitefield,Mini,19.98,84.4,262.43,Cash,2024-04-01,
BLRTRIP100018,USER4926,Yelahanka,MG Road,Sedan,13.99,61.1,240.43,Wallet,2024-03-31,
BLRTRIP100019,USER1093,Kengeri,Yelahanka,Auto,23.85,80.4,252.68,Wallet,2024-02-09,4.0
BLRTRIP100020,USER1811,Banashankari,Yelahanka,SUV,20.37,81.8,396.75,Wallet,2024-01-08,3.0
